id,address_id,name,siren,logo,created_at,updated_at
1,1,Industrie Moderne SA,246635593,,2024-01-16 00:00:00,2024-01-16 00:00:00
2,2,Services Nord SASU,119478998,,2021-01-24 00:00:00,2021-01-24 00:00:00
3,3,Groupe Est SARL,731796595,,2021-03-27 00:00:00,2021-03-27 00:00:00
4,4,Société Paris SNC,603029067,,2022-08-07 00:00:00,2022-08-07 00:00:00
5,5,Industrie International EURL,541685483,,2025-11-29 00:00:00,2025-11-29 00:00:00
6,6,Services Nord SAS,457193423,,2023-03-25 00:00:00,2023-03-25 00:00:00
7,7,Matériaux Méditerranée SNC,414308833,,2025-10-08 00:00:00,2025-10-08 00:00:00
8,8,Services Rhône-Alpes SA,143026847,,2021-11-30 00:00:00,2021-11-30 00:00:00
9,9,Société Plus SARL,970846531,,2024-07-02 00:00:00,2024-07-02 00:00:00
10,10,Services Nouvelle SASU,509294781,,2023-06-11 00:00:00,2023-06-11 00:00:00
11,11,Matériaux Europe SASU,744889312,,2025-10-08 00:00:00,2025-10-08 00:00:00
12,12,Groupe Centre SAS,038755708,,2025-08-20 00:00:00,2025-08-20 00:00:00
13,13,Alimentation Nord SAS,910445279,,2025-06-05 00:00:00,2025-06-05 00:00:00
14,14,Énergie International SA,666426796,,2024-05-04 00:00:00,2024-05-04 00:00:00
15,15,Société Paris SNC,087673075,,2023-06-03 00:00:00,2023-06-03 00:00:00
16,16,Technologies Centre SAS,503124125,,2023-02-28 00:00:00,2023-02-28 00:00:00
17,17,Transport International SAS,092769868,,2022-08-03 00:00:00,2022-08-03 00:00:00
18,18,Solutions Moderne SNC,291348068,,2020-06-13 00:00:00,2020-06-13 00:00:00
19,19,Commerce Ouest EURL,007965734,,2020-04-18 00:00:00,2020-04-18 00:00:00
20,20,Services Plus SARL,566470225,,2022-08-23 00:00:00,2022-08-23 00:00:00
21,21,Matériaux Paris SNC,280523739,,2025-10-25 00:00:00,2025-10-25 00:00:00
22,22,Transport Nord SNC,224030817,,2022-08-31 00:00:00,2022-08-31 00:00:00
23,23,Entreprise Expert SA,752387076,,2021-08-16 00:00:00,2021-08-16 00:00:00
24,24,Consulting Plus SA,583718739,,2023-03-17 00:00:00,2023-03-17 00:00:00
25,25,Innovation Avenir SA,729116806,,2023-09-08 00:00:00,2023-09-08 00:00:00
26,26,Commerce International SAS,529121188,,2021-11-20 00:00:00,2021-11-20 00:00:00
27,27,Construction Est SNC,165083619,,2020-03-13 00:00:00,2020-03-13 00:00:00
